IDENT,LATITUDE,LONGITUDE
BKD45,52.66653889,12.62366667
BKD46,52.81728889,12.76091667
BODLA,53.27583333,14.41
BOGMU,53.97916667,10.28879167
BOKNI,50.34069722,10.608875
BOKSO,51.79669722,10.65875556
BOLBO,51.79470833,13.15100278
BOLKI,49.56637222,7.935302778
BOLSI,49.23182222,10.75850833
BOMBI,50.05679167,8.8004
BOREP,49.96583333,10.62778333
BRANE,52.48391389,12.56148611
BRAUN,51.15,9.916666667
BUE01,50.19363056,7.080869444
BUE02,50.15073611,7.041275
BUE04,50.1183,7.025725
BUE05,50.108825,6.998997222
BUE06,50.23480556,7.257708333
BUE08,50.29834722,7.160655556
BUE10,50.32825556,7.183513889
BUE19,50.05196667,7.005572222
BUE20,50.02771389,6.960269444
BUE23,50.37476389,7.582766667
BUE26,50.20859444,7.092247222
BUE28,50.41709167,7.694902778
BUE29,49.74061389,6.754605556
BUE31,50.24988333,7.1367
BUE34,49.665,6.700886111
BUE60,50.26843333,7.137825
BUE62,50.47773056,7.29825
BUGAL,50.36628611,7.560361111
BUKIG,51.7443,14.46399167
BULAP,52.01661667,9.437308333
BUMAB,54.60422222,10.85009722
BUMIL,53.11991389,11.28606111
BURAM,48.69549722,10.94900278
BUREL,52.344525,11.85454722
BUROK,52.08432222,12.39738889
BUSCH,50.84033333,10.43216667
BUSIR,51.12078889,14.33088333
CEBPA,50.053875,8.350358333
CEL14,52.47108889,10.0213
CHA34,50.09493333,8.948175
CHIEM,47.82527778,12.45583333
COL08,50.80875,7.800530556
COL14,50.82898056,7.968341667
COYAK,49.31886667,10.72112222
DE001,50.96381111,11.34066111
DE002,50.99115556,11.32116944
DE003,50.97719167,10.99085278
DE011,51.02637222,10.67673333
DE012,51.05595833,10.68717222
DE013,51.00025556,10.69916667
DE014,50.99685,10.52847778
DEGIN,48.60139722,12.70602778
DEGOM,51.16420833,7.673855556
DEGUL,54.64657222,9.469441667
DEKEL,52.30267222,10.29808333
DEMAB,50.54105278,9.955875
DENEL,48.36541389,7.884133333
DENEN,53.14280278,9.418941667
DENOL,51.98328056,8.672808333
DEPAD,51.76805556,6.22
DEPAX,50.09312778,6.891747222
DEPIN,48.22423056,11.09651944
DEPOK,50.7125,6.862222222
DEPUK,50.76633333,6.917166667
DESAR,51.63993611,12.04286389
DESIM,52.47453056,9.414469444
DETEV,49.82347222,9.541863889
DETEX,48.3944,12.33146389
DETNI,54.91666667,14.34416667
DETOB,48.30514444,11.17461667
DETUM,48.35388333,11.78610833
DEVOD,53.78909444,9.858316667
DEXAV,54.634,8.781666667
DEXIP,49.44935556,7.916869444
DH003,53.73249167,10.19703611
DH005,53.80688611,9.770747222
DH006,53.69016111,10.11058333
DH007,53.66142778,9.96915
DH009,53.52369167,9.768297222
DH010,53.61500833,9.957138889
DIBCA,50.02693056,8.158563889
DIDUM,52.18277778,14.72111111
DIDUS,50.07997778,6.233319444
DILEX,49.92587778,10.17224722
DILUG,50.41071111,8.285625
DIMPI,51.08222222,7.862777778
DIMSU,50.16691944,10.57866667
DINKU,49.23621389,10.38315
DINOG,48.61349722,12.515425
DIRBO,52.83211944,10.84415833
DISKI,49.57215278,6.4705
DISUN,47.86276667,11.10513611
DITAM,50.55811111,7.529561111
DIXAT,51.26765,7.150641667
DKB05,49.41618889,10.28235556
DKB15,49.04737778,9.881263889
DKB23,48.89568889,9.793288889
DKB28,49.26180278,10.92892778
DLE05,52.16771944,9.867
DLE12,52.42206667,10.00861389
DLE17,52.09558333,10.26878889
DLE23,52.0858,10.452
DLE26,52.40881944,10.00995556
DLE86,52.03555,9.840738889
DMN18,48.36806944,11.84397778
DMN35,48.35764722,11.69449722
DMS31,48.33723889,11.70090556
DOBUR,51.69818056,13.53508611
DODEN,50.60225556,8.09325
DODIL,48.73256667,10.57373889
DOMEG,51.70953056,7.587127778
DOMUX,51.41985,7.536355556
DONAB,49.82108056,8.029119444
DOSIS,49.23858611,11.406675
DOSUR,54.85861111,9.194166667
DOTOB,53.28573889,8.064905556
DR020,49.2136,7.077519444
DR021,49.19445556,6.929830556
DR022,49.21755,6.900744444
DR023,49.24340556,6.903930556
DUDPE,50.07454444,8.454022222
DUS04,51.32076111,6.841419444
DUS07,51.21254722,6.60605
DUS20,51.12733611,7.231038889
DUS48,51.21135833,6.470986111
DVW07,52.48738056,9.37065
DVW09,52.45537778,9.662663889
DVW10,52.43864444,9.314927778
DVW12,52.483675,10.01724444
DVW13,52.46038611,9.945275
DVW14,52.46671111,9.708219444
EBANA,51.04745278,8.959086111
EBASA,51.80446944,14.19368889
EBATU,49.51456111,8.994502778
EBEDA,48.16022778,12.12688056
EBESI,50.07515833,11.03994167
ECCHO,49.81778056,7.9525
ECURI,50.05085,8.348863889
EDEGA,51.03473056,9.007830556
EDICE,50.22246111,8.164733333
EDIMO,48.16749722,11.40094167
EDUDU,49.91015556,10.16683056
EEDER,51.02138889,8.946111111
EFD03,50.97013056,11.04246944
EFD06,50.96060278,11.13896944
EFD07,50.99514722,10.77416111
EFD09,51.0012,10.69822778
EFD14,50.97501944,10.99263889
EFD46,50.98650278,10.87883889
EFD60,50.96429722,11.13999444
EFD99,51.00135278,10.69827778
EGAKA,49.85708889,8.748522222
EKERN,54.5058,9.863866667
EKPEK,50.96449444,13.32135
EKPUT,49.78693333,10.09656389
EKROM,49.637075,8.605797222
EKSAK,51.01700278,8.596094444
EKSOS,49.65419722,11.40749722
EKSUD,49.43967222,7.695183333
EKTOT,52.06189167,7.292711111
EKVUP,49.43866111,7.407008333
ELBEG,47.69694167,7.749436111
ELDAR,51.02305556,6.679444444
ELGOT,49.735,7.673611111
ELKIM,54.28915556,11.67513611
ELLER,49.51416667,8.375666667
ELNAT,51.20431667,9.690988889
ELSAL,49.40973611,12.6888
ELTED,51.820175,11.60098333
ELTUK,52.00855833,7.867211111
ELVAG,48.95171667,10.24644167
EMBOX,52.05743611,11.349675
EMKIL,48.17427222,8.764725
EMKIR,49.450775,10.57767222
EMPIT,53.23732778,7.489380556
ENGLE,49.61728611,12.2049
ENITA,49.70213611,12.47388611
ENORO,50.95901111,11.21460278
EPINO,50.24154167,7.449641667
ERAKU,52.51224722,13.036375
ERDOK,50.88850278,10.03148333
ERETO,49.931,11.40821389
ERF03,50.95865556,11.15858333
ERF04,50.99797778,11.33231389
ERF05,50.94209444,11.10565833
ERF08,50.83540556,11.13145556
ERF10,51.03645,11.01021389
ERF14,51.01004444,10.59094444
ERF22,51.05093333,10.67559722
ERF30,50.95693056,11.1582
ERF32,50.95917778,11.15331667
ERF45,50.98940833,11.33842778
ERF85,51.01908056,10.85611944
ERKUL,51.68695,6.696480556
ERKUM,51.61998611,6.696294444
ERL08,49.501575,11.82798611
ERL14,49.51784444,11.41119722
ERL16,49.58226389,10.73521944
ERLET,49.40119722,8.314016667
ERMEL,49.18764167,11.04473611
ERNAS,48.84466944,11.21935278
ERNUD,52.93395833,11.52551667
ERSET,50.95236944,9.963038889
ERSIL,51.05058056,10.28660278
ERT07,50.99496667,10.77413611
ERT30,50.98629167,10.87880278
ERT96,51.00991944,10.59093056
ERTES,49.95531667,10.6275
ERTUL,47.93347778,10.10047778
ESADU,51.409975,8.756227778
ESAMA,50.34118333,8.859827778
ESATI,50.06309444,9.190083333
ESEGA,48.29644444,13.18146944
ESEGU,51.27336944,10.47184444
ESIKA,52.12376111,12.67130833
ESISO,47.79283333,9.859677778
ESLOR,51.06591944,14.17941389
ESOBU,51.18300833,10.75909722
ESTAD,53.52534167,9.564638889
ESULI,48.43411111,9.227472222
ETAGO,48.72756944,9.460052778
ETARU,50.28527778,8.112222222
ETASA,49.19079444,9.128402778
ETENO,50.18197778,6.191786111
ETIMA,49.13628056,13.155525
ETOLU,50.18116389,9.288552778
ETOXU,47.72580278,9.550538889
EVGUL,49.453125,7.916441667
EVIVA,48.66743056,11.70293889
EVIVU,54.57885556,10.94014722
EVOKI,52.74551111,12.93478611
EXITI,49.56248333,11.40730833
EXOBA,51.76735833,8.326883333
FEBEG,50.06358333,8.399836111
FFM01,50.04633333,8.613938889
FFM10,49.88174722,8.718458333
FFM13,49.81018056,8.695561111
FFM14,49.88299722,8.39105
FFM20,49.99076389,8.603458333
FFM22,49.80232222,8.275661111
FFM25,50.07373056,9.282986111
FFM27,50.03521667,7.913713889
FFM28,50.07138611,7.913388889
FFM29,49.62088611,8.648722222
FFM30,50.07729722,9.412227778
FFM31,49.89155278,8.550663889
FFM40,50.08399722,9.670766667
FFM70,50.06754444,7.913208333
FFM73,49.78128889,8.492258333
FFM88,50.05820556,8.843866667
FFM90,49.99312222,8.452988889
FFM97,50.01990278,8.3919
FFM99,49.74820278,8.474786111
FH004,50.1523,7.367305556
FODMA,50.16019722,8.662597222
FR001,50.07158056,8.708452778
FRANK,49.45444444,8.025833333
FRD05,50.06279722,8.686175
FRD08,50.07968333,8.759305556
FRD09,49.98814722,8.344002778
FRD51,50.0108,8.438836111
FRD69,50.084225,8.756363889
FSE09,49.98414444,8.345919444
FSE51,50.00626389,8.440722222
FULNO,50.87208611,9.701480556
FWE10,52.4993,13.89931944
FWE19,52.58594167,13.66945278
FWE20,52.58768889,13.6648
FWE22,52.64395,13.65641389
FWE23,52.64602778,13.65213889
GAGSI,48.629725,8.4669
GALEC,50.12233889,8.702033333
GALKU,52.38938056,12.07922222
GALMA,51.39808889,11.45098056
GAPLA,50.65396667,10.28068611
GAPTO,47.46858333,10.75943056
GARGU,52.64431389,11.46666389
GARKI,51.38440556,14.11611667
GARLU,52.82903889,11.11805
GARMO,47.79312222,9.300175
GASBO,54.27481111,12.27653611
GASKA,50.35194444,10.27861111
GASTU,53.63320833,8.005177778
GEBNO,49.16668889,9.932291667
GEBSO,50.54945278,6.690927778
GED05,50.37026944,9.136441667
GEDSI,50.28388889,9.125
GEGVO,50.94490833,6.218805556
GEMPO,49.43128889,7.564347222
GENTI,52.3326,12.34375556
GERDO,50.84427778,11.13725556
GERGA,52.60250278,14.02813611
GERKU,49.089725,8.287694444
GESTO,53.17488611,10.08349167
GETNI,51.11842778,7.954691667
GEVNI,53.76197778,13.48152222
GEVTA,50.95898333,9.692319444
GEW03,50.95904444,6.135552778
GEW07,50.95720556,6.240955556
GEW10,50.96,6.0752
GIBMA,53.21303889,8.771505556
GIBSA,49.66821111,9.667538889
GIGET,49.701,8.726744444
GIKOG,54.63765833,8.958152778
GIMAX,49.33101389,10.53089167
GINIM,54.642,9.191833333
GIPDO,54.47420556,11.20878333
GIRIT,52.8025,12.07805556
GISAT,49.6435,9.950166667
GISEM,50.63556389,8.819372222
GISNO,49.765425,7.85735
GITEX,52,10.52376389
GIVMI,48.70109444,11.36480278
GIX01,50.96288611,6.018836111
GIX02,51.20757778,6.213911111
GIX03,50.955975,6.123402778
GIX04,50.95569167,6.123338889
GIX06,50.96052778,5.887086111
GIX08,50.99759722,6.463630556
GIX09,50.96088889,6.071263889
GIX12,50.94877778,6.334205556
GIX13,51.00989167,6.380038889
GIX14,50.94605556,6.386736111
GIX16,51.21281667,6.193338889
GIX17,50.86784444,6.322763889
GIX18,51.24398889,6.211969444
GIX20,51.13487778,6.146869444
GIX21,51.55552222,6.399677778
GIX22,51.30631944,6.249308333
GIX23,50.856625,5.809802778
GIX30,50.96195833,5.966136111
GIX34,50.885775,5.873891667
GIX42,51.60391667,6.491927778
GIX43,51.15635,6.336461111
GIX47,50.8928,5.777786111
GIX48,51.69528333,6.556772222
GIX55,50.95239167,6.189125
GIX58,50.83016111,6.043544444
GIX59,50.89675,6.044366667
GIX60,51.06610278,6.179483333
GIX61,51.084825,6.296641667
GIX67,50.960325,5.939852778
GIX68,50.95801944,5.755347222
GIX71,50.93608333,6.331855556
GIX72,51.07472222,6.275636111
GIX74,50.95350833,6.149469444
GIX78,50.94358611,6.253708333
GIX80,51.00679722,6.461522222
GIX81,50.84966667,5.935427778
GIX82,50.89896111,5.860677778
GIX83,50.90595833,6.235388889
GIX84,50.98835278,6.465227778
GIX88,50.96979167,6.466886111
GIX91,50.95786389,6.361394444
GIX94,50.94856111,6.201594444
GIX96,50.93105278,6.383941667
GIX97,50.93357222,6.3579
GIX98,50.92346389,6.462047222
GIX99,51.26859722,6.256372222
GL008,52.56137778,13.3094
GMH21,51.00988056,7.395597222
GMH25,50.97458333,7.287822222
GMH32,51.1303,7.047463889
GOBAX,51.55662222,12.78413056
GOBEX,54.63687222,8.918805556
GODUR,51.83046111,13.27978889
GOKUB,49.44475278,7.763736111
GOLAT,50.91218889,11.93803889
GOLBO,53.11986111,13.61581111
GOLEN,54.05964722,8.320861111
GOMIS,51.89008333,6.574519444
GONBA,48.68764167,13.07571667
GORIG,52.31656944,14.08814722
GORKO,50.22443611,10.48375833
GORLA,47.95433333,10.50733333
GOT31,51.09055556,10.88032222
GOTEC,50.07762222,8.471616667
GRAFE,49.58216667,12.17616667
GRF01,49.68503333,11.96211111
GRF04,49.66628889,12.03344444
GRF11,49.65815,12.06434722
GRF53,49.64806667,12.05687222
GRW05,49.65952778,12.02853611
GTQ20,49.28046667,6.955377778
GUBAX,50.29027778,7.9112
GUDEG,48.38743056,12.09396944
GUDOM,50.19350833,10.40478056
GUDON,50.90972222,14.85666667
GUDOP,53.02965,13.17085
GUGSU,52.44002778,11.87117222
GULKO,50.75428056,7.938813889
GULMI,52.897525,8.853283333
GUPIN,48.88263611,9.748063889
GURLO,53.05197778,11.37359722
HA06,52.425625,10.36570278
HAD20,52.46895556,9.6403
HAD65,52.46257778,9.871658333
HAD75,52.46186389,9.898877778
HAM03,53.58995,10.02920556
HAM07,53.53035,10.079025
HAM09,53.62096111,10.00326944
HAM17,53.96805556,10.23010556
HAM29,53.75429444,9.976702778
HAM36,54.28415,10.25860833
HAM38,53.32875556,9.329283333
HAM71,53.96222222,10.10526667
HAN06,49.86423889,7.177855556
HAN08,50.02866944,7.343977778
HAN11,50.1012,7.4153
HAN12,49.93046944,7.247111111
HAN20,49.98674444,7.301555556
HAN21,49.81635556,7.031805556
HAN28,49.98652778,7.302172222
HAN36,49.89596667,7.213222222
HAN56,49.86782778,7.185663889
HAN58,50.02891667,7.343327778
HAREM,49.61844167,9.414563889
HATTR,50.07241389,8.412263889
HBD14,52.45631111,9.645869444
HDM32,49.56053889,8.462013889
HDM36,49.60333333,8.535488889
HDM78,49.64726389,8.619258333
HDMNB,49.5345,8.3905
HERBI,48.49095833,8.243558333
HEUSE,48.04417778,9.162533333
HIPIL,49.32854444,10.79610278
HLZ18,52.45005556,10.32631389
HMM07,51.97123333,7.744288889
HMM10,51.97021944,7.511205556
HMM28,52.15994722,8.016630556
HMM32,52.06840278,7.922972222
HMM55,52.03242222,7.402383333
HN007,54.28758056,9.858147222
HND05,50.01743611,7.33285
HND09,49.96447778,7.366641667
HND13,49.75575833,7.0674
HND15,49.89781667,7.339597222
HND21,49.79469722,7.106977778
HND24,49.98519722,6.63825
HND36,49.89669444,7.213933333
HND56,49.86853056,7.186355556
HNE08,52.47178889,9.476847222
HOD07,50.28117222,11.66601944
HOD31,50.28787778,11.83207222
HOD33,50.29161111,11.941475
HOD38,50.29115278,11.96099444
HOD65,50.26764167,12.017875
HOD67,50.24761667,12.01354444
HOD69,50.29228889,11.99291667
HOD75,50.25663056,11.67008889
HOD76,50.24744722,11.68026389
HOD77,50.28261944,11.66845833
HOD78,50.28364167,11.69962222
HOD79,50.28557778,11.75931111
HOF11,50.10790556,11.78041667
HOF14,50.46366389,11.61243333
HOF81,50.30106944,11.64803889
HOVMO,54.89128889,9.000647222
HSE07,52.458875,9.490441667
HSE34,52.45749722,9.566716667
HSW57,52.44926389,9.814247222
HW209,52.38518889,9.466694444
HW210,52.33773611,9.421433333
IBAGA,49.74405,10.55979722
IBAGU,52.345,7.539833333
IBATO,52.18443889,7.921905556
IBESA,50.48333333,6.333333333
IBINI,48.16911944,8.580925
IBMIX,49.9475,10.80138889
IDARO,49.70695278,6.955397222
IDEKO,52.99394722,9.450494444
IGL02,48.73068611,11.61628056
IGL08,48.76838611,11.75621944
IGL50,48.82931111,11.82078333
IGLNB,48.73783333,11.64466667
INBAX,51.45490278,7.732138889
INBED,49.38758056,10.94174444
INBOS,49.93495833,9.624158333
INBUG,49.40139722,7.231975
INDOK,52.95150556,12.13219167
INKAM,49.1499,8.607780556
INLAR,50.97277222,6.480361111
INPUD,48.66710278,11.54149167
IPTUD,49.42837778,7.403866667
IRBIR,47.56641389,11.10356944
IRGAG,49.39371389,7.233902778
IRKIS,53.248975,10.88858333
IVLEL,49.43764444,7.618538889
JEXOR,49.96483333,7.878166667
JUIST,53.56270278,6.920027778
KAMIL,51.5444,8.444358333
KARLU,48.97416667,8.5475
KBO04,50.914275,7.080930556
KBO07,50.75692778,7.226141667
KBO12,50.66944444,7.271169444
KBO13,50.85015278,7.174455556
KBO16,50.88439167,7.123522222
KBO17,50.87856111,7.109638889
KBO20,50.851425,7.095458333
KBO26,50.88400833,7.204113889
KBO32,50.82588056,7.207861111
KBO35,50.82008056,7.209947222
KEGAB,52.9175,9.424213889
KEGEX,54.62625833,13.51493333
KEGOS,49.66065,11.05148611
KELKK,50.10500278,8.531327778
KELUX,50.07668056,7.042569444
KEMAD,51.12348056,9.675016667
KEMAV,48.97638056,9.927216667
KEMES,49.55010833,11.22406944
KEMOT,52.08381667,7.445694444
KEN06,50.63333333,6.2
KENIG,51.61957222,11.26439444
KENN,49.76253611,6.697697222
KENUM,50.722375,6.239341667
KEPOM,49.80811667,11.382875
KETAP,52.92785278,13.65494722
KETEG,49.452475,8.985744444
KHD04,54.37360278,10.03172222
KHD12,54.3801,10.15368333
KHD13,54.37492778,10.06014167
KHD26,54.38995556,10.32108056
KHD27,54.38451111,10.23033611
KHD30,54.38595833,10.23000556
KHD61,54.37080278,9.972075
KHD62,54.39278056,10.32047778
KHD63,54.39489722,10.34875833
KHD71,54.39458056,9.944786111
KHD72,54.37145556,10.35017222
KILNU,50.47685556,12.91165833
KIRDI,48.20767778,12.82165278
KLF06,52.55659444,13.68730278
KLF32,52.55824167,13.68768611
KLF41,52.51959444,12.79493056
KLF48,52.60026667,12.66861667
KOBUS,51.5134,14.25260556
KODUK,50.19788889,10.94226111
KOGIM,54.31693333,13.54396389
KOGIT,51.00611111,7.582777778
KOGOL,47.62226667,11.39985
KOKEB,50.88058333,10.21075
KOMIB,50.07335556,10.24270833
KOMOT,51.62866667,7.074197222
KOMOX,54.12306944,12.97038056
KONAS,50.18393889,9.506608333
KONIN,47.85595556,11.36806389
KOPAG,51.06486667,7.81005
KOREV,51.5075,6.958888889
KORUP,51.58305556,14.73805556
KOSEK,49.92281944,8.880580556
KOSIX,51.8993,12.45616944
KOVAN,48.88238611,9.084291667
KPT12,47.85014722,10.09105556
KPT13,47.95388889,10.43868056
KPT14,47.86549444,10.05278889
KPT18,48.03231111,10.47235556
KPT58,48.0672,10.14728333
KUBAB,53.74881111,12.47006667
KUBOG,51.95121667,12.92407778
KUKIT,50.92990278,7.356427778
KULIX,51.35133889,8.247236111
KULOK,50.07280278,11.63046389
KUMER,51.53736111,10.63499444
KUMIK,50.83658611,8.073325
KUNOD,48.33885,9.618541667
KURHO,49.32916667,6.845
KUSOM,50.38156944,8.365897222
KUXOD,54.48502222,11.18251389
LABES,54.19310278,13.576325
LABOX,52.58309444,13.54753333
LADAT,49.26525833,7.839472222
LADOL,48.16666667,8.953427778
LAGES,50.11088056,7.651461111
LAKOL,48.07113611,12.01478889
LALIN,48.88001667,13.24214167
LALUB,52.79440278,10.84025556
LALUK,50.80440833,13.88021389
LAMGO,48.88577778,8.779302778
LAMOP,50.98686389,9.466663889
LAMPO,49.34,9.668
LAMPU,49.34009722,9.668047222
LAMSI,48.653375,13.58346944
LANDU,48.59636111,12.27392778
LANUL,55,7.697222222
LANUM,52.79592222,12.38716944
LAPAG,47.86028611,9.305341667
LARBU,51.88560278,9.193091667
LARET,51.83443056,10.86934722
LARUB,50.79288333,9.709738889
LASGA,50.36058611,11.228075
LASIS,51.40694444,14.96166667
LASLU,53.14870833,11.56961944
LASMI,48.54166667,11.71666667
LASTO,51.129025,11.11066389
LATBA,50.42180556,11.32145
LBE11,53.8072,9.769561111
LBE13,53.49018333,9.861186111
LBE16,53.427875,9.422425
LBE18,53.4564,9.621722222
LBE20,53.43920278,10.05405278
LBE70,53.78458889,10.17477778
LBE84,53.52439167,9.674338889
LBU15,48.75203889,9.050827778
LBU21,48.67991944,8.922161111
LBU26,48.68515833,8.931486111
LBU29,48.75356667,9.053561111
LBU41,48.78392222,9.50395
LBU45,48.84911667,9.421383333
LCH03,48.44049722,10.859
LCH04,48.38162778,11.10006667
LCH05,48.26701389,10.95521111
LCH06,48.20325833,10.87501389
LCH07,47.97618611,10.66736111
LCH08,48.050525,10.77887778
LCH09,48.17495,10.850075
LCH14,48.23047778,10.5153
LCH16,48.06526944,10.92698889
LCH27,48.41312222,11.02948333
LCH30,48.22876667,10.90706944
LCH34,48.24538611,10.91548611
LCH35,48.39508611,11.07431111
LCH50,48.11274444,10.81443333
LCH97,48.40685,10.67126389
LCH99,48.18989167,10.48511389
LEBSO,48.24542778,9.195891667
LEBTI,51.13361111,6.733611111
LECKY,54.79233333,8.942088889
LEDKI,50.1041,8.855891667
LEGDA,52.37764167,11.41311667
LEGDU,50.98516111,6.976819444
LEGPI,54.68915833,7.670116667
LEGSA,53.753325,12.78962222
LEKMI,49.35222222,12.78111111
LEKMO,53.44166667,6.908888889
